Country Name,Country Code,Time,Time Code,Capture fisheries production (metric tons) [ER.FSH.CAPT.MT],Total fisheries production (metric tons) [ER.FSH.PROD.MT]
World,WLD,1960,YR1960,34790181,36819360
World,WLD,1961,YR1961,38630192,40578240
World,WLD,1962,YR1962,42035679,44050083
World,WLD,1963,YR1963,42996371.1,45244047.1
World,WLD,1964,YR1964,47586827.1,49989504.1
World,WLD,1965,YR1965,48653613.4,51257966.4
World,WLD,1966,YR1966,52568635.8,55360381.8
World,WLD,1967,YR1967,56020668,58936342
World,WLD,1968,YR1968,59336231,62428544
World,WLD,1969,YR1969,57903206,61141372
World,WLD,1970,YR1970,63886816,67412833
World,WLD,1971,YR1971,63917908,67848380
World,WLD,1972,YR1972,59670600,63951403
World,WLD,1973,YR1973,60227295,64732237
World,WLD,1974,YR1974,63470416,68411940
World,WLD,1975,YR1975,62941133,68160736
World,WLD,1976,YR1976,66328026,71736517
World,WLD,1977,YR1977,65083617,71365632
World,WLD,1978,YR1978,67115747,73709110
World,WLD,1979,YR1979,67583580.5,74298328.5
World,WLD,1980,YR1980,68257270,75604495
World,WLD,1981,YR1981,70308777.033,78127363.033
World,WLD,1982,YR1982,72121092.738,80334531.738
World,WLD,1983,YR1983,71946274.376,81035539.376
World,WLD,1984,YR1984,77654923.412,87846404.861
World,WLD,1985,YR1985,79380107.449,90734456.097
World,WLD,1986,YR1986,84935065.919,97605975.021
World,WLD,1987,YR1987,85595380.513,99566884.741
World,WLD,1988,YR1988,89066596.227,104597701.186
World,WLD,1989,YR1989,89603182.964,106089534.033
World,WLD,1990,YR1990,86024297.41,102874756.451
World,WLD,1991,YR1991,84921535.262,103226563.865
World,WLD,1992,YR1992,86415586.71,107627075.599
World,WLD,1993,YR1993,87749049.809,112216974.861
World,WLD,1994,YR1994,93361399.181,121159878.186
World,WLD,1995,YR1995,93696571.977,124928828.171
World,WLD,1996,YR1996,95159583.233,128950267.368
World,WLD,1997,YR1997,94464034.81,128760311.509
World,WLD,1998,YR1998,86874551.956,123338426.064
World,WLD,1999,YR1999,92812113.525,132416866.13
World,WLD,2000,YR2000,94763862.697,136488432.45
World,WLD,2001,YR2001,91957971.436,136282794.154
World,WLD,2002,YR2002,92313232.588,139688317.297
World,WLD,2003,YR2003,89559026.501,139830434.216
World,WLD,2004,YR2004,94176615.32,148746929.409
World,WLD,2005,YR2005,93697962.791,151518162.009
World,WLD,2006,YR2006,91237774.257,152829754.389
World,WLD,2007,YR2007,91558656.417,156495951.973
World,WLD,2008,YR2008,90694759.549,159493839.451
World,WLD,2009,YR2009,90266893.424,163312149.755
World,WLD,2010,YR2010,88855994.004,166876013.869
World,WLD,2011,YR2011,93180835.75,175816233.951
World,WLD,2012,YR2012,90512336.661,180532909.305
World,WLD,2013,YR2013,91753926.83,188864093.606
World,WLD,2014,YR2014,92360622.69,193445421.811
World,WLD,2015,YR2015,93736944.844,199741128.597
World,WLD,2016,YR2016,..,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 11/14/2018,,,,,
