,2000 Forest area (% of land area),2000 GDP per capita (constant 2010 US$),2005 Forest area (% of land area),,2005 GDP per capita (constant 2010 US$),2010 Forest area (% of land area),2010 GDP per capita (constant 2010 US$),2015 Forest area (% of land area),2015 GDP per capita (constant 2010 US$)
Afghanistan,2.1,..,2.1,,389.4,2.1,553.3,2.1,620.1
Albania,28.1,"2,337.9",28.6,,"3,189.4",28.3,"4,094.4",28.2,"4,524.6"
Algeria,0.7,"3,541.1",0.6,,"4,273.3",0.8,"4,463.4",0.8,"4,759.6"
American Samoa,90.3,..,89.4,,"10,644.6",88.6,"10,352.8",87.7,"9,884.1"
Andorra,34.0,"40,801.5",34.0,,"48,831.9",34.0,"39,736.4",34.0,"41,765.9"
Angola,47.9,"1,720.4",47.4,,"2,387.8",46.9,"3,531.4",46.4,"3,729.0"
Antigua and Barbuda,22.7,"11,981.9",22.3,,"12,857.2",22.3,"12,174.7",22.3,"12,771.8"
Argentina,11.6,"8,182.7",11.0,,"8,522.5",10.4,"10,276.3",9.9,"10,498.6"
Armenia,11.7,"1,404.3",11.7,,"2,572.0",11.6,"3,218.4",11.7,"3,935.3"
,,,,,,,,,
Australia,16.8,"44,313.3",16.6,,"48,760.4",16.0,"51,936.9",16.2,"55,017.2"
Austria,46.5,"42,001.2",46.6,,"44,637.9",46.7,"46,858.0",46.9,"47,905.5"
Azerbaijan,10.6,"1,633.4",10.6,,"2,949.4",12.2,"5,842.8",13.8,"6,117.0"
"Bahamas, The",51.4,"31,587.6",51.4,,"31,023.0",51.4,"27,979.1",51.4,"27,198.9"
Bahrain,0.5,"22,955.1",0.6,,"22,066.1",0.7,"20,722.1",0.8,"22,436.2"
Bangladesh,11.3,509.3,11.2,,598.6,11.1,757.7,11.0,971.6
Barbados,14.7,"15,035.4",14.7,,"15,700.1",14.7,"15,959.0",14.7,"15,998.0"
Belarus,40.8,"2,808.7",41.6,,"4,164.4",42.1,"6,029.4",42.5,"6,398.7"
Belgium,22.0,"40,170.4",22.3,,"42,994.4",22.5,"44,380.2",22.6,"45,052.4"
Belize,64.0,"3,838.9",62.1,,"4,342.1",61.0,"4,344.2",59.9,"4,482.5"
Benin,44.9,694.2,42.7,,723.2,40.4,757.7,38.2,827.8
,,,,,,,,,
Bhutan,65.5,"1,201.1",69.7,,"1,534.8",71.0,"2,178.9",72.3,"2,628.2"
Bolivia,55.5,"1,616.5",54.2,,"1,720.1",51.9,"1,981.2",50.6,"2,393.0"
Bosnia and Herzegovina,42.7,"3,002.8",42.7,,"3,946.1",42.7,"4,614.8",42.7,"5,190.3"
Botswana,22.1,"4,954.8",21.1,,"5,512.8",20.0,"6,346.2",19.1,"7,308.8"
Brazil,62.4,"8,779.3",60.6,,"9,495.5",59.6,"11,224.2",59.0,"11,351.6"
,,,,,,,,,
Brunei Darussalam,75.3,"35,923.4",73.8,,"36,325.1",72.1,"35,268.1",72.1,"32,661.9"
Bulgaria,30.5,"3,955.3",33.6,,"5,561.2",34.4,"6,843.3",35.2,"7,612.0"
Burkina Faso,22.8,434.8,21.7,,512.0,20.6,575.4,19.6,645.4
Burundi,7.7,228.2,7.0,,219.2,9.9,231.2,10.7,226.5
Cabo Verde,20.4,"2,180.0",20.7,,"2,639.4",21.1,"3,312.8",22.3,"3,362.2"
Cambodia,65.4,431.3,60.8,,613.3,57.2,785.7,53.6,"1,024.9"
Cameroon,46.8,"1,163.4",44.5,,"1,264.2",42.1,"1,309.1",39.8,"1,469.6"
Canada,38.2,"43,638.3",38.2,,"47,181.6",38.2,"47,447.5",38.2,"50,303.8"
,,,,,,,,,
Central African Republic,36.0,411.9,35.8,,410.4,35.7,446.4,35.6,314.9
Chad,5.0,462.5,4.9,,835.2,4.4,896.6,3.9,962.7
,,,,,,,,,
Chile,21.3,"9,469.1",21.6,,"11,249.9",21.8,"12,860.2",23.9,"14,893.9"
China,18.9,"1,771.7",20.6,,"2,738.2",21.4,"4,560.5",22.2,"6,496.6"
Colombia,55.7,"4,764.2",54.3,,"5,312.1",52.8,"6,250.7",52.7,"7,446.2"
Comoros,24.2,806.4,22.6,,801.3,21.0,769.2,19.9,769.5
"Congo, Dem. Rep.",69.4,290.2,68.7,,300.8,68.0,334.2,67.3,411.3
"Congo, Rep.",66.0,"2,364.6",65.8,,"2,503.3",65.6,"2,737.3",65.4,"2,925.5"
